soc_code,occupation_title,aioe_score,aioe_zscore,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,n_activities,education_level,college_required,annual_median_wage,log_wage,wage_percentile
45-2041,"Graders and Sorters, Agricultural Products",-1.370968,-1.370967994304419,0.20344427589899172,0.27054519496743107,0.23199785848130633,0.21049344159900063,41.0,1.4031272727272728,0,35430.0,10.475314197859518,5.649926144756277
45-2091,Agricultural Equipment Operators,-1.145156,-1.1451559941146794,0.1771911799573224,0.2836481466845807,0.30095629494981424,0.18098474670038725,41.0,1.560783351062379,0,42580.0,10.65913993844747,19.940915805022154
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.601349,-1.6013489944979982,0.19736328886808643,0.25867852406583974,0.261096809423512,0.20102972150713785,41.0,2.4616720146167204,0,35690.0,10.482625816484205,6.277695716395865
45-2093,"Farmworkers, Farm and Ranch Animals",-1.108432,-1.1084319940838216,0.20560082271972152,0.25195791472193657,0.2510086227355431,0.2027529467605411,41.0,2.4326545454545454,0,36150.0,10.49543222758691,7.459379615952733
45-3011,Fishers and Related Fishing Workers,-1.513249,-1.5132489944239718,,,,,,,0,,,
45-3021,Hunters and Trappers,-1.304797,-1.3047969942488185,,,,,,,0,,,
45-4011,Forest and Conservation Workers,-1.064205,-1.0642049940466598,0.2054344341134979,0.23044244950304585,0.2641070856043603,0.20751843539596024,41.0,3.3887272727272726,0,43680.0,10.684645610418787,21.233382570162483
45-4021,Fallers,-1.795407,-1.7954069946610567,0.16004899459018065,0.23405124017556395,0.3374502398693478,0.20271511687251198,41.0,1.3213090909090908,0,53900.0,10.89488575689709,43.79615952732644
45-4022,Logging Equipment Operators,-1.003702,-1.0037019939958218,0.172566034863363,0.2607901347339575,0.29055339879729003,0.2078100022836264,41.0,1.330690909090909,0,49210.0,10.803852133860024,36.336779911373704
45-4023,Log Graders and Scalers,-0.4768305,-0.4768304935531146,0.21636044827323325,0.24555919798734469,0.23877410993367387,0.20012197911107724,41.0,1.9379636363636368,0,46710.0,10.751713553496154,27.695716395864107
47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,-0.3054048,-0.30540479340907306,0.1927753057005711,0.260957920184997,0.24722329280683927,0.2029711642899688,82.0,2.2935111692987484,0,78690.0,11.273271361529028,75.18463810930575
47-2011,Boilermakers,-1.097532,-1.0975319940746628,0.1967758259235162,0.24231909202631388,0.2857659220704113,0.21267982361020746,41.0,1.7415272727272724,0,73340.0,11.202861441625316,69.64549483013293
47-2021,Brickmasons and Blockmasons,-1.75434,-1.7543399946265499,0.19812696706839641,0.250249481845398,0.24518308129269978,0.21324940508175325,41.0,1.882997390648156,0,60800.0,11.015345067954259,54.35745937961596
47-2022,Stonemasons,-1.714759,-1.7147589945932915,0.166383701188455,0.2828037836526801,0.25434554127253617,0.20987953755356134,41.0,1.6649454545454545,0,51990.0,10.858806671377762,42.09748892171344
47-2031,Carpenters,-1.323631,-1.323630994264644,0.20185239635401353,0.25338135842399295,0.24522199353131433,0.20493972361070273,41.0,1.876727272727273,0,59310.0,10.990533204832772,51.29246676514032
47-2041,Carpet Installers,-1.564577,-1.5645769944671004,0.1761006289308176,0.2431865828092243,0.2624737945492662,0.20503144654088049,41.0,1.6784,0,49850.0,10.816773775389985,38.47858197932053
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.301024,-1.3010239942456483,0.20550777373470064,0.26066821038703275,0.2202282500826993,0.21485279523652,41.0,1.722835919955632,0,54340.0,10.90301588298034,44.46085672082718
47-2043,Floor Sanders and Finishers,-1.748722,-1.7487219946218293,0.18578680203045686,0.2587382160986222,0.26134880348078315,0.19956490210297315,41.0,1.541818181818182,0,49150.0,10.802632125575313,35.967503692762186
47-2044,Tile and Marble Setters,-1.22543,-1.22542999418213,0.1918775750441436,0.24955856386109473,0.2521651391574876,0.21516858656352475,41.0,1.6472000000000002,0,52240.0,10.863603763950312,42.836041358936484
47-2051,Cement Masons and Concrete Finishers,-1.777407,-1.777406994645932,0.1969571439331174,0.24832416961663023,0.2567598101980869,0.21232206070648488,41.0,1.4567729500222748,0,54660.0,10.90888745948206,44.608567208271786
47-2053,Terrazzo Workers and Finishers,-1.776065,-1.7760649946448044,0.17958199356913182,0.257475884244373,0.2802250803858521,0.2045016077170418,41.0,1.7860304878603046,0,57260.0,10.955357578652107,47.71048744460857
47-2061,Construction Laborers,-1.622988,-1.6229879945161807,0.19873077188383803,0.2430157963716631,0.26329585431468583,0.2097675381113334,41.0,1.7943272727272723,0,46730.0,10.752141635694471,27.806499261447566
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-1.184739,-1.1847389941479392,0.18250436993484823,0.25274114095026223,0.2798347370093755,0.20888288574606706,41.0,1.5789090909090913,0,51650.0,10.852245474547784,41.432791728212706
