soc_code,occupation_title,aioe_score,aioe_Conservative,aioe_Moderate,aioe_Aggressive,aioe_change_Conservative,aioe_change_Moderate,aioe_change_Aggressive,routine_cognitive,physical_manual,education_level,annual_median_wage,tot_emp,baseline_high,newly_exposed_Conservative,newly_exposed_Moderate,newly_exposed_Aggressive
17-1022,Surveyors,0.1460606,0.8275769078741033,1.1635717581843323,1.669134762155259,0.6815163078741033,1.0175111581843324,1.523074162155259,0.2407020031909235,0.2067718489629498,4.104055860131467,72740.0,53080.0,False,False,True,True
17-2011,Aerospace Engineers,1.338738,1.3608461867366384,1.665369791256412,2.1018723386010443,0.02210818673663839,0.32663179125641206,0.7631343386010443,0.2491148775894538,0.1749152542372881,5.065963636363636,134830.0,68440.0,True,False,False,False
17-2021,Agricultural Engineers,0.9409636,0.9126793169036522,1.2231571959074568,1.6826908795463373,-0.028284283096347784,0.28219359590745674,0.7417272795463373,0.2396402628848149,0.2015219647180906,5.109090909090909,84630.0,1680.0,False,False,True,True
17-2031,Biomedical Engineers,0.9874239,1.1202369886731152,1.4221593011957745,1.8636780073084558,0.13281308867311514,0.4347354011957745,0.8762541073084558,0.2392864911899064,0.1880936842868537,6.027418181818182,106950.0,21860.0,False,True,True,True
17-2041,Chemical Engineers,1.341336,1.5091307520326174,1.8150393361471813,2.2518899824157277,0.1677947520326173,0.4737033361471812,0.9105539824157276,0.2480253930759577,0.1633572008562781,5.099127272727273,121860.0,20330.0,True,False,False,False
17-2051,Civil Engineers,1.282867,1.4561153408422292,1.74064273744368,2.1471877557343118,0.17324834084222918,0.45777573744367994,0.8643207557343118,0.2320819112627986,0.1524539729846656,4.8848,99590.0,355410.0,True,False,False,False
17-2061,Computer Hardware Engineers,1.141812,1.3674147019658311,1.6588003956708803,2.076440584222818,0.2256027019658311,0.5169883956708803,0.9346285842228179,0.2414176614517683,0.1732779713798472,5.388724763887248,155020.0,75710.0,True,False,False,False
17-2071,Electrical Engineers,1.126725,1.303414930919852,1.61142417080528,2.0540305561257237,0.17668993091985197,0.48469917080528013,0.9273055561257237,0.249266022198353,0.1746509129967776,4.662836363636364,111910.0,188790.0,True,False,False,False
17-2072,"Electronics Engineers, Except Computer",0.6654578,0.7606088437884848,1.0559354590419514,1.4964104499868625,0.09515104378848482,0.3904776590419514,0.8309526499868625,0.2285746760627415,0.2031901189664317,4.551345454545455,127590.0,93940.0,False,False,True,True
17-2081,Environmental Engineers,1.343561,1.2252054361354352,1.4986278262806056,1.8951294291560936,-0.1183555638645648,0.15506682628060564,0.5515684291560936,0.2219430485762144,0.1658291457286432,5.051968833246961,104170.0,37950.0,True,False,False,False
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.9948935,1.1008536558029047,1.398198622176913,1.835243323595176,0.10596015580290474,0.40330512217691294,0.840349823595176,0.229730210073579,0.1770518608040379,4.636363636363637,109660.0,23220.0,False,True,True,True
17-2112,Industrial Engineers,1.13787,0.9305276306145642,1.2246898873718237,1.65775893866387,-0.2073423693854357,0.08681988737182378,0.5198889386638701,0.2317888171084874,0.1898158461424222,4.762145454545456,101140.0,350230.0,True,False,False,False
17-2131,Materials Engineers,1.037278,0.9079262936075445,1.1878516912958106,1.6019690199122734,-0.1293517063924554,0.15057369129581066,0.5646910199122734,0.2231873905429071,0.1933450087565674,6.229322932293229,108310.0,22770.0,True,False,False,False
17-2141,Mechanical Engineers,1.004709,0.828291737855209,1.1254581482366333,1.5653248545477312,-0.17641726214479103,0.12074914823663319,0.5606158545477311,0.2327448228312526,0.1983452759104676,4.785842424242423,102320.0,286760.0,False,False,True,True
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.34695,1.4582120329928538,1.7498701616448638,2.1654273057727207,0.11126203299285375,0.40292016164486366,0.8184773057727206,0.2382846398611513,0.1531674862597628,4.787127272727272,101020.0,6770.0,True,False,False,False
17-2161,Nuclear Engineers,1.303009,1.306732778730047,1.6091561633171754,2.0487285227794154,0.0037237787300468117,0.3061471633171753,0.7457195227794153,0.2375110196885101,0.1716132823978842,4.913454545454545,127520.0,14740.0,True,False,False,False
17-2171,Petroleum Engineers,1.247779,1.6591313219757615,1.9346104618971887,2.31509986443572,0.41135232197576155,0.6868314618971887,1.06732086443572,0.2429737080689029,0.139241462677546,4.832072727272728,141280.0,18970.0,True,False,False,False
17-2199,"Engineers, All Other",0.787566,0.865834019179784,1.1649964249815967,1.610936203303289,0.07826801917978399,0.37743042498159673,0.823370203303289,0.229471650442149,0.2004254291446831,5.231261164214517,117750.0,150750.0,False,False,True,True
17-3012,Electrical and Electronics Drafters,0.910166,1.0941468223555222,1.4202094226407334,1.8971251619243499,0.18398082235552216,0.5100434226407333,0.9869591619243498,0.2490562872242261,0.1827027933898163,3.765687067656871,73720.0,20020.0,False,True,True,True
17-3013,Mechanical Drafters,0.8410071,0.8995673265540722,1.1913524669049502,1.6217138167651084,0.058560226554072226,0.3503453669049502,0.7807067167651084,0.2286634460547504,0.1899313501144164,3.958535565614151,68510.0,39900.0,False,False,True,True
17-3021,Aerospace Engineering and Operations Technicians,0.3909402,0.4692469114528317,0.8016830644917146,1.3053146925022847,0.07830671145283169,0.41074286449171454,0.9143744925022848,0.2406191015477539,0.2235560588901472,2.966472727272727,79830.0,9060.0,False,False,False,True
17-3022,Civil Engineering Technicians,0.9323219,1.2429068135829686,1.5670590155290514,2.0406830750281753,0.3105849135829686,0.6347371155290513,1.1083611750281752,0.244217578561174,0.1716382198117722,3.3473454545454544,64200.0,62130.0,False,True,True,True
17-3024,Electro-Mechanical Technicians,-0.3040507,-0.334286628555327,-0.008926676309394477,0.5069070901433745,-0.030235928555326974,0.29512402369060553,0.8109577901433745,0.2207133263691986,0.2722354872407103,3.5468182500034087,70760.0,14680.0,False,False,False,False
17-3025,Environmental Engineering Technicians,0.0438054,0.34477769017157955,0.6900058595610181,1.2222519210296658,0.30097229017157956,0.6462004595610181,1.1784465210296657,0.2348184818481848,0.2314356435643564,4.083909790839098,58890.0,12500.0,False,False,False,True
17-3026,Industrial Engineering Technicians,0.6106679,0.011867591697822366,0.31465574448304956,0.7825487424908659,-0.5988003083021777,-0.2960121555169505,0.17188084249086588,0.2212091027507471,0.2421270400735576,3.1863999999999995,64790.0,73410.0,False,False,False,False
